Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Göran,Lindahl,Furuvägen 299,Sundsvall,70264,Sverige,SE,19830814-0909,+46,0585-412 71,1983-08-14,True
Kristiina,Salminen,Gustav Pauligin katu 195,Puumala,09495,Finland,FI,19800603-7233,+358,+358318001734,1980-06-03,True
Rolf,Eriksson,Åkervägen 20,Uddevalla,48826,Sverige,SE,19820405-5910,+46,036-050 95 30,1982-04-05,True
Ingrid,Johansson,Industrigränd 9,Malmö,31150,Sverige,SE,19811117-5479,+46,+46 (0)56 59 95 35,1981-11-17,True
Therese,Alm,Skogsvägen 371,Borås,59353,Sverige,SE,19450403-5807,+46,082-382 25 77,1945-04-03,True
Carolin,Johansson,Storgatan 14,Borås,90955,Sverige,SE,19740402-0176,+46,+46 (0)92 94 37 15,1974-04-02,True
Thomas,Brewer,Smith Burgs 102,Johnsonmouth,06060,Danmark,DK,19730905-9856,+45,+1-745-279-9735,1973-09-05,True
Elin,Eriksson,Åkergränd 9,Östersund,55318,Sverige,SE,19930108-4332,+46,0009-636 09,1993-01-08,True
Gustav,Ekholm,Ringgränd 81,Norrköping,92265,Sverige,SE,19830630-2368,+46,0840-023 43,1983-06-30,True
Anna,Wall,Ringvägen 539,Eskilstuna,53584,Sverige,SE,19601123-3178,+46,+46 (0)8 658 259 99,1960-11-23,True
Danny,Velazquez,David Port 178,Schwartzstad,37734,Sverige,DK,19670121-8980,+45,403.653.9022x404,1967-01-21,True
Randi,Nygård,Jørgensenjordet 5,Torbjørnfjord,2692,Norge,NO,19501027-7876,+47,+4789297092,1950-10-27,False
Sigrid,Linder,Fabriksgränd 5,Varberg,92917,Sverige,SE,19650719-5306,+46,+46 (0)8 125 395 52,1965-07-19,True
Michael,Herman,Maureen Dam 42461,Port Kevinton,27126,Danmark,DK,19810907-1533,+45,+1-287-998-9965x962,1981-09-07,True
Ingeborg,Evensen,Eliassengata 99,Tonjefjell,2699,Norge,NO,19501227-6919,+47,98088822,1950-12-27,True
Einar,Lie,Tangenberget 178,Berg,9564,Norge,NO,19700806-6126,+47,+47 64 06 15 50,1970-08-06,True
Lennart,Andersson,Kvarnstigen 94,Halmstad,22637,Sverige,SE,19900820-1792,+46,+46 (0)70 45 81 06,1990-08-20,True
Jonathan,Lindberg,Kvarngränd 3,Trollhättan,69931,Sverige,SE,19670713-1381,+46,+46 (0)12 78 54 32,1967-07-13,True
Cassandra,Anderson,Ray Hill 352,Melissabury,99799,Danmark,DK,19940116-2468,+45,+1-559-697-1456x52094,1994-01-16,True
Karl,Nielsen,Arnesenåsen 4F,Eivindhamn,4559,Norge,NO,19851218-5248,+47,41475577,1985-12-18,True
Sami,Moilanen,Walentin Chorellin polku 1,Lohja,21829,Finland,FI,19401006-697K,+358,+358 01 6162707,1940-10-06,True
Scott,Martin,Ferrell Plaza 546,West Craig,57522,Danmark,DK,19811208-0436,+45,536.860.1536x82841,1981-12-08,True
Linnea,Eklund,Skolgatan 3,Malmö,54764,Sverige,SE,19550505-0089,+46,+46 (0)61 28 33 49,1955-05-05,True
Robert,Carlsson,Industrigränd 549,Lidingö,22991,Sverige,SE,19600413-2292,+46,+46 (0)33 69 38 33,1960-04-13,True
Britt,Vik,Svendsenvika 44A,Arnesjøen,2138,Norge,NO,19780114-1829,+47,44596968,1978-01-14,True
Henry,Emanuelsson,Skolgatan 36,Göteborg,71543,Sverige,SE,19530930-2557,+46,+46 (0)8 251 460 89,1953-09-30,True
Barbro,Johansson,Stationsvägen 889,Uddevalla,58908,Sverige,SE,19810525-9209,+46,08-75 72 34,1981-05-25,True
Angela,Larsson,Ringvägen 525,Södertälje,12643,Sverige,SE,19880216-3830,+46,+46 (0)8 572 914 47,1988-02-16,True
Christine,Ponce,Stewart Road 9420,Lunamouth,55922,Danmark,DK,19770105-9887,+45,(312)654-6639,1977-01-05,True
Anthony,Spencer,May Ridges 66367,Christopherbury,81460,Danmark,DK,19990228-9397,+45,(544)353-9623,1999-02-28,True
Henrietta,Lindgren,Fabrikstorget 48,Karlskoga,18398,Sverige,SE,19620710-5294,+46,0720-224 93,1962-07-10,True
Ebbe,Lindholm,Grantorget 9,Umeå,88615,Sverige,SE,19591221-8014,+46,+46 (0)770 182 95,1959-12-21,True
Jonathan,Kirk,Moreno Circles 036,New Melissaport,46127,Danmark,DK,19710423-2731,+45,608.341.7785,1971-04-23,True
Andreas,Tangen,Aasmarka 162,Pedersen,8049,Norge,NO,19881129-4007,+47,44 42 07 82,1988-11-29,True
Kaarina,Huhtala,Ylä-Fallin tie 02,Ähtäri,52257,Finland,FI,19460504-5370,+358,+358267865202,1946-05-04,True
Tellervo,Pakarinen,Mannerheiminbulevardi 280,Kangasniemi,18940,Finland,FI,19480623-474S,+358,0254160013,1948-06-23,True
Karl,Ågren,Fabriksgatan 4,Karlskoga,36853,Sverige,SE,19680519-7964,+46,08-527 735 41,1968-05-19,True
Milton,Gustafsson,Bäckgränd 908,Alingsås,39715,Sverige,SE,19990713-0655,+46,08-731 593 83,1999-07-13,True
Gregory,Miller,Brianna Spur 33922,New Rachel,51067,Danmark,DK,19620216-2869,+45,994.982.6901,1962-02-16,True
Matias,Jaakkola,Ylänköbulevardi 56,Imatra,53700,Finland,FI,19961221-553R,358,068 668 8979,1996-12-21,True
Holger,Rydén,Kyrkvägen 30,Landskrona,81617,Sverige,SE,19520917-4506,+46,08-32 89 61,1952-09-17,True
Finn,Haugland,Lundejordet 652,Erikdal,1947,Norge,NO,19840308-1326,+47,92403064,1984-03-08,False
Siv,Sjödin,Trädgårdsvägen 0,Sundsvall,40473,Sverige,SE,19411212-7068,+46,08-276 65 15,1941-12-12,True
Wilhelm,Samuelsson,Grangränd 0,Trollhättan,35640,Sverige,SE,19830518-0791,+46,08-037 80 70,1983-05-18,True
Elisabet,Dahl,Industristigen 892,Uddevalla,91645,Sverige,SE,19850414-9221,+46,+46 (0)59 11 42 53,1985-04-14,True
Cory,Carson,Garza Path 3492,Port Darren,06927,Danmark,DK,19480422-7093,+45,809.466.7988x33160,1948-04-22,True
Ronny,Berntsson,Nygatan 62,Sandviken,38221,Sverige,SE,19941029-9711,+46,091-74 64 31,1994-10-29,True
Joline,Andersson,Aspgatan 658,Landskrona,88621,Sverige,SE,19840602-0576,+46,019-64 70 69,1984-06-02,True
Astrid,Nyberg,Granstigen 95,Örebro,14399,Sverige,SE,19730502-9320,+46,0413-857 67,1973-05-02,True
Mattias,Gabrielsson,Kyrkogränd 76,Umeå,23457,Sverige,SE,19811201-4412,+46,0603-84 08 28,1981-12-01,True
Oskar,Jeppsson,Backvägen 0,Skövde,55244,Sverige,SE,19821122-3278,+46,08-74 04 05,1982-11-22,True
Tina,Neal,Flores Skyway 83177,Masseyton,87614,Danmark,DK,19480418-7708,+45,(701)925-5068,1948-04-18,True
Daniel,Jensen,Fredriksenskrenten 7C,Helenehavn,9587,Norge,NO,19510402-3979,+47,66 96 11 67,1951-04-02,True
Michaela,Jennings,Christian Fork 675,West Richard,74997,Danmark,DK,19420311-4656,+45,001-613-846-1016,1942-03-11,True
Gert,Ottosson,Skolgatan 13,Umeå,30909,Sverige,SE,19460805-8513,+46,0820-67 72 23,1946-08-05,True
Einar,Haugen,Abrahamsenspranget 9,Berg,6246,Norge,NO,19790706-8074,+47,29 58 55 32,1979-07-06,True
Elena,Karlberg,Järnvägstorget 144,Karlskrona,27738,Sverige,SE,19480517-1948,+46,08-738 06 29,1948-05-17,True
Ann,Sæther,Knudsenstubben 03D,Nguyen,2898,Norge,NO,19701222-8948,+47,954 57 462,1970-12-22,True
Lars,Åkerlund,Idrottsgatan 89,Sandviken,56385,Sverige,SE,19911029-6826,+46,08-233 35 85,1991-10-29,True
Eric,Eriksson,Skolvägen 6,Varberg,95407,Sverige,SE,19520925-5676,+46,+46 (0)366 440 76,1952-09-25,True
Maarit,Heikkinen,Bengalinkatu 7,Lapua,64909,Finland,FI,19841020-4175,+358,0178881151,1984-10-20,True
Vilhelm,Larsson,Aspgatan 84,Kristianstad,15401,Sverige,SE,19910922-7127,+46,0749-15 18 95,1991-09-22,True
Elias,Lundmark,Ektorget 719,Trollhättan,83990,Sverige,SE,19950430-7342,+46,0857-23 98 71,1995-04-30,True
Ola,Madsen,Arnesenmarka 84,Steinstrøm,3056,Norge,NO,19820521-8832,+47,99027375,1982-05-21,True
Ingegärd,Osman,Trädgårdsgatan 1,Jönköping,99796,Sverige,SE,19630306-8712,+46,08-721 781 92,1963-03-06,True
Tomas,Karlsson,Björkstigen 62,Varberg,13543,Sverige,SE,19851102-8280,+46,08-839 567 21,1985-11-02,True
Victor,Ottosson,Skogsvägen 16,Luleå,49153,Sverige,SE,19930925-5050,+46,08-26 24 49,1993-09-25,True
Olivia,Ek,Skogsgatan 656,Trollhättan,52534,Sverige,SE,19470501-7692,+46,+46 (0)8 485 640 13,1947-05-01,True
Linda,Larsson,Nyvägen 71,Skövde,84038,Sverige,SE,19721229-0624,+46,0286-92 60 85,1972-12-29,True
Karen,Pettersen,Karlsenstranda 6,Helland,4919,Norge,NO,19940311-6904,+47,45278127,1994-03-11,True
Gustav,Omar,Skogsstigen 2,Stockholm,93189,Sverige,SE,20000522-1915,+46,050-531 62 91,2000-05-22,True
Maria,Jääskeläinen,Malminkartanonbulevardi 206,Urjala,85459,Finland,FI,20000125-8474,+358,091 075 4095,2000-01-25,True
Mari,Ruud,Arnesenløkka 5,Lisefoss,5311,Norge,NO,19741220-8261,+47,47 07 94 05,1974-12-20,True
Eva,Gustafsson,Grangatan 71,Uddevalla,68725,Sverige,SE,19890412-7397,+46,036-97 42 63,1989-04-12,True
Melissa,Moore,Tami Union 51705,North Joshuafort,54441,Danmark,DK,19750112-4545,+45,+1-886-838-4143x82282,1975-01-12,True
Karoline,Solberg,Ahmedringen 3,Kristineodden,5987,Norge,NO,19880612-7212,+47,70549490,1988-06-12,True
Cathrine,Englund,Industrivägen 6,Sundsvall,79971,Sverige,SE,19921024-9060,+46,+46 (0)616 454 36,1992-10-24,True
Olav,Kristensen,Mikkelsenkroken 9A,Turidnes,5638,Norge,NO,19590413-4628,+47,+4760403343,1959-04-13,True
Hans,Nordlund,Furustigen 00,Örnsköldsvik,53647,Sverige,SE,19641012-8188,+46,+46 (0)807 770 67,1964-10-12,True
Aulis,Pekkala,Jyväbulevardi 35,Helsinki,76889,Finland,FI,19481110-744S,+358,+358 682565043,1948-11-10,True
Christopher,Nichols,Perez Points 675,Elliottchester,97491,Danmark,DK,19860517-3815,+45,+1-691-675-3157,1986-05-17,True
Albin,Norrman,Storvägen 0,Malmö,70514,Sverige,SE,19960420-9333,+46,+46 (0)440 043 30,1996-04-20,True
Eva,Holm,Amundsenkollen 3,Eliassen,9266,Norge,NO,19620315-4630,+47,+47 89 73 27 64,1962-03-15,True
Ove,Lindberg,Industristigen 5,Lidingö,74228,Sverige,SE,19560314-8301,+46,0461-48 09 31,1956-03-14,True
Karen,Hanssen,Kristoffersenmoen 73,Moen,0737,Norge,NO,19961005-1283,+47,18 44 35 31,1996-10-05,True
Agnes,Bergman,Gengatan 93,Sundsvall,68216,Sverige,SE,19780321-6510,+46,054-80 43 57,1978-03-21,True
Cassandra,Moore,Gonzalez Corner 5739,Donovanchester,54761,Danmark,DK,19930319-4536,+45,841.450.0380x28187,1993-03-19,True
Ann-Christine,Olsen,Stationsgränd 920,Ängelholm,63571,Sverige,SE,19980108-8181,+46,042-566 74 24,1998-01-08,True
Marit,Johansen,Haugenlyngen 443,Janneodden,3718,Norge,NO,19570103-0997,+47,47537302,1957-01-03,True
Maarit,Oksanen,Purjetuulenbulevardi 3,Karvia,13082,Finland,FI,19740603-130F,+358,0487516275,1974-06-03,True
Dennis,Bean,Wilson Hollow 899,North Michael,76915,Danmark,DK,19470204-8509,+45,898.811.5104x191,1947-02-04,True
Carl,Ljunggren,Furuvägen 81,Ängelholm,68772,Sverige,SE,19891030-3154,+46,08-786 356 40,1989-10-30,True
Louise,Svahn,Genvägen 39,Landskrona,60555,Sverige,SE,19980801-7498,+46,08-82 86 08,1998-08-01,True
Daniel,Armstrong,Michelle Fields 681,Alyssaview,64828,Danmark,DK,19581216-2980,+45,819-581-5307x0392,1958-12-16,True
Tor,Danielsen,Sivertsensvingen 42D,Øysteinbø,8372,Norge,NO,19750506-6539,+47,+47 20 50 30 32,1975-05-06,True
Ahmed,Davidsson,Idrottsgränd 981,Borlänge,16900,Sverige,SE,19870313-2015,+46,+46 (0)677 884 50,1987-03-13,True
Tore,Ferm,Nygatan 7,Växjö,16359,Sverige,SE,19421010-1717,+46,045-82 87 49,1942-10-10,True
Odd,Kristensen,Karlsenholtet 2,Frodestrand,0103,Norge,NO,19920805-6904,+47,52317120,1992-08-05,True
Anna,Ekström,Genvägen 37,Lund,81130,Sverige,SE,19740421-2519,+46,08-986 54 10,1974-04-21,True
Johan,Eriksson,Kvarngränd 7,Gävle,69183,Sverige,SE,19560131-4259,+46,+46 (0)317 442 81,1956-01-31,True
Erik,Forsman,Ängstorget 615,Landskrona,24580,Sverige,SE,19560930-9375,+46,+46 (0)815 804 64,1956-09-30,True
Sofie,Ali,Alilyngen 1H,Erikvik,5559,Norge,NO,19470815-0480,+47,96327003,1947-08-15,True
Hans,Eriksson,Strandgränd 920,Nyköping,44083,Sverige,SE,19530319-3458,+46,+46 (0)8 802 067 00,1953-03-19,True
Kristina,Jansson,Strandtorget 531,Borlänge,19496,Sverige,SE,19490208-7804,+46,0020-48 85 10,1949-02-08,True
Natalie,Sutton,Karla Highway 6883,Ramosfurt,23949,Danmark,DK,19850207-4310,+45,001-313-533-6817x7348,1985-02-07,True
James,Garza,Arthur Land 6774,East Aliciashire,51328,Danmark,DK,19880210-0324,+45,326.559.6097,1988-02-10,True
Erik,Nilsson,Björkgatan 863,Skövde,36842,Sverige,SE,19481204-8134,+46,0739-432 90,1948-12-04,True
Louise,Holmgren,Skolgatan 4,Skövde,27420,Sverige,SE,19481020-8880,+46,08-82 05 69,1948-10-20,True
Vicki,Cochran,Miller Avenue 25930,West Alexandria,65599,Danmark,DK,19910918-9455,+45,497.990.2214x472,1991-09-18,True
Chris,Ward,Griffith Villages 75410,Port Kristin,55629,Danmark,DK,19440412-0438,+45,+1-848-473-2392x59391,1944-04-12,True
Arild,Eriksen,Andersenkollen 6B,Myhre,5458,Norge,NO,19440722-7782,+47,445 09 209,1944-07-22,True
Thi,Ek,Stationstorget 0,Luleå,51919,Sverige,SE,19920306-0483,+46,08-457 401 47,1992-03-06,True
Stine,Amundsen,Dahlflata 4,Aasen,9514,Norge,NO,19840609-3505,+47,+4707222234,1984-06-09,True
Irene,Johansson,Bäckvägen 8,Piteå,38634,Sverige,SE,19680517-1767,+46,08-866 04 92,1968-05-17,True
Stephanie,Smith,Patterson Path 320,East Jenniferstad,14172,Danmark,DK,19890124-0524,+45,889-573-5227,1989-01-24,True
Barry,Freeman,Karina Streets 9533,East Amberbury,84628,Danmark,DK,19750418-0129,+45,+1-371-503-6564x3194,1975-04-18,True
David,Logan,Cortez Lights 56732,West Jonathan,29019,Danmark,DK,19670510-5521,+45,(493)251-0547x1130,1967-05-10,True
Camilla,Lindgren,Idrottsvägen 8,Borås,26351,Sverige,SE,19540122-6097,+46,0375-28 44 64,1954-01-22,True
Rasmus,Larsson,Trädgårdsstigen 45,Uppsala,31481,Sverige,SE,19760506-2551,+46,0557-515 29,1976-05-06,True
Eivind,Andresen,Næssmyra 62,Emilhavn,2118,Norge,NO,19741112-2485,+47,05160012,1974-11-12,True
Tammy,Bruce,Bridges Rest 4726,Erinton,47872,Danmark,DK,19400314-7319,+45,(342)264-5719x7459,1940-03-14,True
Elisabet,Lindberg,Björkstigen 169,Sandviken,42283,Sverige,SE,19430615-7927,+46,0672-394 78,1943-06-15,True
Ola,Olsson,Björkvägen 44,Västerås,31459,Sverige,SE,19430816-5160,+46,08-615 07 92,1943-08-16,True
Mikael,Pettersson,Stationsgränd 2,Trelleborg,18761,Sverige,SE,19900106-2574,+46,038-93 52 00,1990-01-06,True
Karin,Strandberg,Ängsstigen 611,Östersund,82523,Sverige,SE,19520613-5168,+46,+46 (0)194 553 48,1952-06-13,True
Fredrika,Andreasson,Kyrkstigen 3,Alingsås,82918,Sverige,SE,19691213-0581,+46,088-02 11 70,1969-12-13,True
Robert,Eide,Knudsenskogen 5,Kennethborg,8618,Norge,NO,19841231-3581,+47,93575685,1984-12-31,True
David,Johansson,Industrigatan 792,Nyköping,64560,Sverige,SE,19850321-1614,+46,+46 (0)03 90 63 62,1985-03-21,True
Karin,Pettersson,Villagatan 26,Växjö,43017,Sverige,SE,19910718-8811,+46,047-479 26 76,1991-07-18,True
Sigurd,Moberg,Industrigatan 3,Luleå,14458,Sverige,SE,19501021-2416,+46,+46 (0)38 00 08 70,1950-10-21,True
Sebastian,Bodin,Åkertorget 119,Borås,88595,Sverige,SE,19750821-4907,+46,0691-56 69 23,1975-08-21,True
Linda,Amundsen,Aasenstykket 8,Kareneid,9554,Norge,NO,19760428-4074,+47,414 12 449,1976-04-28,True
Rolf,Nielsen,Birkelandstien 7,Ingeborgstrand,6955,Norge,NO,19640119-1957,+47,18 36 75 48,1964-01-19,True
Kjersti,Sørensen,Martinsenlia 874,Andreassand,5247,Norge,NO,19470821-6079,+47,934 02 395,1947-08-21,True
Lars,Näslund,Genvägen 0,Stockholm,43769,Sverige,SE,19780929-3356,+46,+46 (0)8 137 410 05,1978-09-29,True
Petra,Norén,Skogstorget 9,Kalmar,13359,Sverige,SE,19971023-7292,+46,+46 (0)14 95 23 94,1997-10-23,True
Anna,Wells,Michael Forge 714,East Mariabury,17775,Danmark,DK,19731016-6797,+45,(762)883-7329,1973-10-16,True
Alva,Asp,Fabriksstigen 6,Örnsköldsvik,60841,Sverige,SE,19941012-6451,+46,08-95 19 25,1994-10-12,True
Maja,Lind,Strandstigen 0,Örnsköldsvik,73601,Sverige,SE,19870725-9714,+46,0552-551 92,1987-07-25,True
James,Hopkins,Williams Village 9023,Sosashire,68697,Danmark,DK,19480511-0411,45,(794)864-5510x728,1948-05-11,True
Valter,Karlsson,Villatorget 1,Motala,44786,Sverige,SE,19960702-1680,+46,08-43 14 88,1996-07-02,True
Egil,Ruud,Lienskrenten 54F,Holm,5026,Norge,NO,19920713-3656,+47,438 29 731,1992-07-13,True
Teresa,Weiss,Stewart Causeway 58561,New Faith,15909,Danmark,DK,19600401-3144,+45,473-291-3781x82644,1960-04-01,True
Kristina,Sjöberg,Kyrkgränd 5,Södertälje,37960,Sverige,SE,19430320-2155,+46,056-84 35 75,1943-03-20,True
May,Nilsen,Kristenseneggen 1A,Lund,2873,Norge,NO,19411216-4669,+47,84 23 81 83,1941-12-16,True
Martine,Eriksen,Kristensenmyra 77,Sindrehelle,5013,Norge,NO,19400520-9879,+47,43417736,1940-05-20,True
Tove,Ahmed,Fredrikseneggen 53,Pålstrand,1647,Norge,NO,19881016-8089,+47,+4758095691,1988-10-16,True
Kjersti,Ruud,Brekketunet 534,Tomsund,9697,Norge,NO,19510616-2121,+47,+47 26 48 07 36,1951-06-16,True
Gunilla,Nilsson,Backgatan 4,Alingsås,47942,Sverige,SE,19840923-8941,+46,08-068 90 22,1984-09-23,True
Birgitta,Stenberg,Industrigatan 1,Södertälje,15938,Sverige,SE,19430529-3398,+46,0705-50 93 58,1943-05-29,True
Marika,Wahlström,Kyrktorget 4,Falun,45939,Sverige,SE,19610603-1144,+46,08-919 50 51,1961-06-03,True
Milla,Lindberg,Sahaajankuja 021,Vihti,47458,Finland,FI,19730923-491U,+358,049 837 9281,1973-09-23,True
Carl,Nilsson,Backgatan 9,Malmö,28976,Sverige,SE,19921129-9729,+46,0138-92 30 58,1992-11-29,True
Kjetil,Jørgensen,Amundsentunet 563,Dahl,1423,Norge,NO,19900330-3309,+47,47029793,1990-03-30,True
Berit,Nyström,Parkgränd 0,Karlstad,80218,Sverige,SE,19610803-7574,+46,+46 (0)47 92 45 00,1961-08-03,True
Inkeri,Mustonen,Järkälebulevardi 532,Vaala,99424,Finland,FI,19550315-573M,+358,(+358) 709402155,1955-03-15,True
Stephanie,Simmons,Ross Shoals 49921,East Patrick,66256,Danmark,DK,19880408-0920,+45,867-204-3513x40666,1988-04-08,True
Linnéa,Asplund,Grangränd 302,Landskrona,98061,Sverige,SE,19431213-0746,+46,+46 (0)570 417 47,1943-12-13,True
Jouni,Lindholm,Nikonpolku 3,Pyhäntä,43963,Finland,FI,19970527-869T,+358,+358103584621,1997-05-27,True
Madison,Dawson,Jason Views 142,Mayerville,75313,Danmark,DK,19520611-4793,+45,625-214-9267x1781,1952-06-11,True
Turid,Birkeland,Larsenekra 9,Nielsen,5198,Norge,NO,19540602-7878,+47,+4745572077,1954-06-02,True
Michael,Modig,Industrivägen 37,Malmö,91928,Sverigo,SE,19580715-1657,+46,+46 (0)132 432 50,1958-07-15,True
Johan,Sandell,Granvägen 605,Linköping,30497,Sverige,SE,19440119-6474,+46,08-405 83 62,1944-01-19,True
Erik,Persson,Bäckstigen 34,Jönköping,68471,Sverige,SE,19500206-5871,+46,+46 (0)556 266 68,1950-02-06,True
Kenneth,Ljungberg,Gengatan 87,Linköping,15407,Sverige,SE,19470902-5510,+46,0638-01 17 55,1947-09-02,True
Helene,Sandvik,Lundstubben 1,Bentedal,6121,Norge,NO,19860220-2510,+47,94827595,1986-02-20,True
Lars,Palm,Skolgatan 29,Eskilstuna,36010,Sverige,SE,19751112-9172,46,030-07 31 44,1975-11-12,True
Jennifer,Clarke,Andrews Stravenue 19236,West Nicholeshire,56785,Danmark,DK,19900408-4816,+45,876-577-0514x929,1990-04-08,True
